"date","hits","keyword","geo","time","gprop","category"
2019-10-13,0,"Just Stop Oil","GB","today+5-y","web",0
2019-10-20,0,"Just Stop Oil","GB","today+5-y","web",0
2019-10-27,0,"Just Stop Oil","GB","today+5-y","web",0
2019-11-03,1,"Just Stop Oil","GB","today+5-y","web",0
2019-11-10,0,"Just Stop Oil","GB","today+5-y","web",0
2019-11-17,0,"Just Stop Oil","GB","today+5-y","web",0
2019-11-24,0,"Just Stop Oil","GB","today+5-y","web",0
2019-12-01,1,"Just Stop Oil","GB","today+5-y","web",0
2019-12-08,1,"Just Stop Oil","GB","today+5-y","web",0
2019-12-15,0,"Just Stop Oil","GB","today+5-y","web",0
2019-12-22,0,"Just Stop Oil","GB","today+5-y","web",0
2019-12-29,1,"Just Stop Oil","GB","today+5-y","web",0
2020-01-05,0,"Just Stop Oil","GB","today+5-y","web",0
2020-01-12,0,"Just Stop Oil","GB","today+5-y","web",0
2020-01-19,0,"Just Stop Oil","GB","today+5-y","web",0
2020-01-26,0,"Just Stop Oil","GB","today+5-y","web",0
2020-02-02,0,"Just Stop Oil","GB","today+5-y","web",0
2020-02-09,0,"Just Stop Oil","GB","today+5-y","web",0
2020-02-16,0,"Just Stop Oil","GB","today+5-y","web",0
2020-02-23,0,"Just Stop Oil","GB","today+5-y","web",0
2020-03-01,0,"Just Stop Oil","GB","today+5-y","web",0
2020-03-08,1,"Just Stop Oil","GB","today+5-y","web",0
2020-03-15,1,"Just Stop Oil","GB","today+5-y","web",0
2020-03-22,0,"Just Stop Oil","GB","today+5-y","web",0
2020-03-29,0,"Just Stop Oil","GB","today+5-y","web",0
2020-04-05,0,"Just Stop Oil","GB","today+5-y","web",0
2020-04-12,0,"Just Stop Oil","GB","today+5-y","web",0
2020-04-19,0,"Just Stop Oil","GB","today+5-y","web",0
2020-04-26,0,"Just Stop Oil","GB","today+5-y","web",0
2020-05-03,1,"Just Stop Oil","GB","today+5-y","web",0
2020-05-10,0,"Just Stop Oil","GB","today+5-y","web",0
2020-05-17,0,"Just Stop Oil","GB","today+5-y","web",0
2020-05-24,0,"Just Stop Oil","GB","today+5-y","web",0
2020-05-31,0,"Just Stop Oil","GB","today+5-y","web",0
2020-06-07,0,"Just Stop Oil","GB","today+5-y","web",0
2020-06-14,0,"Just Stop Oil","GB","today+5-y","web",0
2020-06-21,0,"Just Stop Oil","GB","today+5-y","web",0
2020-06-28,0,"Just Stop Oil","GB","today+5-y","web",0
2020-07-05,0,"Just Stop Oil","GB","today+5-y","web",0
2020-07-12,0,"Just Stop Oil","GB","today+5-y","web",0
